966 979
344 723 667
254 426 36
114 530 64
189 481 221
535 383 453
622 44 -671
590 645 325
824 955 69
447 83 -312
96 561 -875
138 408 -248
165 937 974
223 231 315
364 151 338
38 357 -690
657 210 -349
214 878 -895
198 352 -768
617 595 -945
193 826 -585
85 27 -27
496 170 -341
257 863 891
111 445 -504
836 603 -912
865 454 988
680 570 -768
417 183 571
856 906 734
376 104 763
295 536 -252
323 282 222
830 546 100
894 271 -763
711 169 -716
52 360 -619
168 13 777
152 779 539
698 288 -161
611 88 -103
143 123 757
15 701 -248
898 444 -825
674 589 -401
942 831 472
320 138 410
724 249 -274
244 744 290
115 206 622
841 410 -513
278 901 -622
151 358 -32
753 91 734
184 619 -391
701 349 -937
365 521 -571
856 570 -467
746 628 454
628 830 387
753 489 142
121 691 -437
820 392 -7
595 158 695
96 643 705
742 506 195
535 537 53
70 9 70
713 196 -181
154 176 87
616 266 -435
517 408 318
795 383 961
161 15 -625
814 823 -50
371 188 -620
410 760 465
409 881 839
789 675 110
20 56 704
426 202 -183
955 938 418
948 134 -898
453 738 186
385 965 903
675 388 213
88 443 -51
700 386 -830
163 293 -249
542 252 -986
340 812 -578
711 757 -158
966 311 491
216 791 867
867 129 348
226 832 -325
563 879 416
950 246 -594
338 264 956
345 665 -612
867 908 -636
948 921 -909
740 417 -462
797 566 -859
826 107 -420
512 485 -899
861 20 -6
306 591 -601
514 519 180
558 456 -646
310 282 -435
856 710 393
855 666 -251
480 19 178
905 684 -863
82 690 -90
236 248 -282
472 511 813
134 243 -274
355 703 341
326 310 -28
716 507 672
758 946 520
380 692 -896
359 550 -305
175 784 376
250 166 37
48 41 958
805 545 874
568 104 -22
663 572 -597
357 926 282
38 744 -602
822 835 966
715 2 511
544 376 -10
726 415 734
213 758 -527
595 727 77
423 349 249
823 553 -322
285 323 -640
432 849 -630
587 117 306
608 701 -892
823 17 -891
486 924 880
682 921 -478
553 293 694
89 511 65
225 462 -267
630 380 29
188 5 -546
558 273 -865
602 666 799
234 827 958
690 327 -554
567 611 -792
751 255 -150
425 656 584
28 628 -874
327 865 -648
421 491 -584
799 826 350
167 265 333
309 775 267
511 651 785
897 37 -882
896 268 -174
965 302 -305
464 535 273
319 383 161
