17
832 1742
7 347 106
746 324 237
192 536 101
658 472 548
466 770 835
374 86 605
655 729 761
82 419 333
7 29 932
265 546 99
154 17 78
185 464 518
781 316 695
720 310 494
640 460 569
626 386 804
507 196 891
664 654 579
771 565 543
78 243 790
419 407 564
283 4 432
120 595 577
208 67 679
591 216 574
93 609 115
157 681 506
224 687 716
402 23 668
388 227 31
821 778 20
206 72 358
552 390 904
622 214 103
708 635 908
77 807 238
80 563 186
235 684 577
741 337 486
227 77 906
134 631 62
562 750 88
90 442 776
682 63 464
408 491 119
302 511 66
106 780 245
406 658 45
700 674 251
118 684 100
401 737 292
59 436 168
3 264 777
330 747 618
533 379 276
648 463 974
636 654 870
133 660 947
330 608 671
396 319 227
501 470 192
455 76 577
133 647 217
607 417 979
160 221 871
597 480 7
140 437 412
457 337 714
188 58 338
786 78 775
16 388 621
65 85 322
420 272 383
202 307 951
671 758 506
309 727 475
648 142 830
368 43 520
704 778 268
126 18 327
130 345 85
233 467 468
160 64 153
478 744 149
26 824 487
787 640 974
58 72 602
89 156 884
656 14 115
247 274 974
113 208 457
578 567 142
275 8 965
596 203 650
28 253 738
746 95 321
74 531 248
751 308 453
289 246 16
143 330 88
475 286 987
321 666 496
90 490 824
374 263 550
450 455 826
210 214 715
356 504 440
102 23 486
104 439 551
271 440 787
392 735 279
549 218 541
456 719 929
713 103 951
609 825 259
575 733 479
21 705 970
595 323 346
567 258 57
676 428 537
299 455 785
97 90 429
449 410 352
594 218 580
698 579 30
294 619 862
78 1 995
214 638 636
502 123 973
143 362 389
603 423 879
588 642 154
172 520 827
248 523 783
555 154 833
459 729 15
567 197 171
654 607 671
93 10 373
715 134 197
772 598 868
706 699 863
482 432 607
779 155 802
568 198 660
105 474 55
725 157 75
707 773 506
444 357 368
422 27 948
313 53 311
600 93 684
120 122 174
56 423 467
783 444 842
212 807 7
93 258 429
190 461 927
683 59 375
488 765 613
659 640 864
235 578 639
313 709 79
11 37 315
657 712 908
723 703 716
489 585 450
797 243 542
356 673 167
100 743 74
195 293 3
566 13 311
285 818 791
324 243 715
123 620 214
69 804 797
797 378 730
745 596 830
796 546 354
727 385 301
610 453 26
422 517 345
379 31 907
513 606 686
218 111 857
180 603 54
469 793 344
502 679 611
514 345 811
756 5 418
506 738 598
557 696 970
652 48 163
715 509 149
452 44 517
794 289 31
118 551 196
92 535 51
605 799 975
84 271 957
436 165 723
699 674 978
141 177 34
229 665 825
293 802 417
480 597 429
659 263 929
47 597 93
390 328 518
89 825 69
358 690 692
255 243 831
343 692 999
565 754 354
377 772 930
418 529 268
499 282 752
371 736 38
762 61 131
812 11 547
750 88 328
280 78 338
488 702 763
831 332 227
58 392 836
368 403 357
230 474 930
78 426 62
525 344 22
825 722 906
828 409 796
451 809 921
565 124 639
244 788 182
620 250 815
602 13 524
6 237 706
56 278 62
357 802 14
778 94 764
684 783 298
663 209 721
641 123 280
758 439 995
53 40 505
122 47 116
800 771 805
517 61 564
628 137 68
88 461 296
404 829 657
10 653 506
648 303 934
268 156 907
345 487 156
156 545 890
47 147 653
72 652 678
560 608 137
632 585 606
521 819 103
268 531 906
783 473 425
720 724 747
195 111 554
449 54 89
503 35 401
171 96 165
498 572 511
480 541 353
551 305 992
406 540 470
583 140 939
331 118 935
314 539 434
103 24 161
274 464 286
184 40 545
5 713 576
145 73 965
180 370 399
357 465 744
454 390 12
227 167 336
102 784 998
754 803 677
715 761 795
15 678 904
729 364 417
175 518 763
570 622 700
495 345 82
735 410 850
40 218 710
416 194 751
658 157 351
557 516 35
99 191 371
743 129 462
600 191 752
36 448 972
9 193 28
18 733 838
742 677 398
372 66 951
59 311 501
368 311 288
147 749 77
362 519 736
50 375 982
486 800 698
172 797 305
484 196 907
285 614 154
627 512 490
353 299 537
229 592 475
41 335 553
764 734 703
481 687 219
239 524 61
263 381 489
190 512 693
628 577 670
203 778 99
647 315 627
411 123 466
14 43 970
215 137 902
265 38 596
87 636 959
524 580 138
773 352 34
563 588 14
564 581 268
463 381 493
832 466 520
688 96 58
695 669 724
136 615 503
117 480 888
115 818 399
135 617 614
73 657 223
606 687 244
550 565 817
444 175 459
308 103 661
623 751 268
549 651 611
492 474 3
381 589 188
826 791 238
816 314 621
272 179 558
73 601 114
248 87 790
81 165 984
168 611 339
23 701 41
827 617 709
696 259 349
369 620 32
813 266 527
184 34 829
746 309 867
579 742 336
534 295 209
267 710 206
719 374 868
710 735 201
569 277 828
691 713 48
672 816 367
520 431 728
709 199 575
111 832 510
339 76 603
547 830 82
691 438 142
348 698 307
56 440 373
201 729 757
88 238 999
761 38 916
400 244 250
252 426 647
417 391 451
693 605 802
441 529 553
356 523 938
757 250 503
213 199 518
414 523 895
313 773 574
668 127 678
462 725 875
206 678 289
328 129 526
260 353 741
359 153 749
626 658 664
793 615 257
217 662 535
562 178 422
236 266 369
472 104 998
204 555 974
549 100 413
177 254 383
519 140 665
345 78 31
511 288 251
203 290 657
471 699 759
659 462 390
726 647 743
515 550 662
730 705 45
793 409 254
112 5 806
332 207 56
147 614 503
445 456 881
329 643 257
74 394 542
657 600 803
412 660 817
239 369 6
168 651 310
405 39 773
679 547 382
163 744 240
300 507 825
64 158 35
816 143 306
734 756 658
455 722 56
191 524 958
822 818 810
82 635 80
265 615 408
230 561 500
721 409 368
147 159 262
279 667 137
395 564 299
40 732 515
103 550 407
316 550 146
744 418 205
477 341 202
13 176 431
376 774 689
658 154 58
200 546 772
207 275 664
474 507 430
230 762 790
634 776 611
354 434 27
363 176 636
643 487 30
762 658 884
179 657 378
414 600 165
107 663 540
820 128 907
253 503 972
33 540 580
222 227 921
154 198 875
232 320 529
721 504 599
624 334 182
96 733 997
798 32 372
765 259 999
495 376 257
619 621 938
237 348 434
427 633 60
498 347 414
174 638 211
243 81 4
113 320 830
218 87 369
667 631 530
101 430 414
243 89 442
443 654 452
58 381 400
196 161 549
747 384 373
148 683 149
705 551 706
587 378 108
612 142 993
26 416 841
434 235 658
217 242 843
732 589 965
382 537 470
240 159 589
478 68 815
794 592 107
794 176 866
300 224 967
36 686 577
110 233 385
728 363 269
177 99 83
626 228 712
498 759 350
360 832 196
21 100 828
226 584 435
255 26 835
145 512 382
288 261 247
817 736 347
198 816 815
559 391 540
334 689 870
339 593 388
89 86 856
762 455 730
438 184 967
487 25 961
456 607 171
317 51 838
784 695 325
722 312 604
824 524 657
233 745 622
763 723 133
329 145 402
476 762 596
20 16 874
80 227 185
655 805 270
779 151 713
666 280 527
404 471 466
716 317 92
582 182 746
503 764 872
658 810 917
142 581 379
535 713 730
237 666 305
267 770 386
357 24 380
50 700 222
651 745 535
484 45 631
252 552 993
281 96 373
243 354 970
752 96 161
117 69 922
488 421 541
242 31 55
18 291 495
628 713 39
647 125 449
708 170 232
263 199 883
247 228 618
290 771 417
378 784 294
393 558 723
383 13 81
347 548 583
335 198 325
172 238 765
570 528 911
611 752 401
397 123 647
509 669 486
33 545 391
364 499 300
66 670 598
631 607 878
697 240 622
756 475 831
575 824 453
252 745 471
773 277 985
435 556 817
691 273 406
172 232 315
517 109 413
614 568 794
367 63 373
293 676 865
155 576 862
666 636 566
656 614 584
14 527 228
209 53 69
290 577 426
510 67 898
189 342 311
181 291 90
718 375 458
401 375 424
787 8 389
398 694 467
627 385 917
110 142 406
807 570 753
761 479 87
589 648 827
741 419 253
183 404 925
193 385 917
552 181 142
64 397 101
456 575 172
438 540 997
389 258 298
341 451 224
178 292 305
350 286 786
224 331 462
208 445 568
68 101 227
735 797 230
45 229 865
451 67 734
175 36 788
252 150 718
439 666 2
292 781 344
628 359 646
512 180 798
445 467 674
347 344 520
749 251 567
516 655 138
549 324 204
63 798 543
351 626 686
216 226 940
109 640 670
270 429 896
714 426 698
662 584 999
607 814 630
700 787 509
197 728 63
659 342 937
58 635 338
435 492 681
13 710 402
257 197 738
494 717 144
625 245 408
37 653 38
82 528 713
529 32 954
533 275 793
664 757 758
640 549 580
546 695 569
287 528 258
260 830 537
298 428 350
83 427 952
672 551 163
195 355 759
232 561 555
376 32 723
547 255 325
713 623 319
335 553 686
74 739 893
461 765 769
216 667 397
734 698 520
147 669 587
577 719 953
148 530 455
51 539 214
724 786 128
816 715 456
727 1 340
287 101 829
802 172 29
203 299 912
680 276 108
816 316 698
825 125 506
807 226 619
14 773 604
125 626 426
330 473 771
77 269 219
759 30 518
11 399 408
779 329 257
317 722 406
219 782 222
626 653 545
114 688 70
468 257 180
780 374 156
716 378 941
216 254 555
93 814 663
516 202 389
368 702 689
346 116 182
525 452 702
759 433 544
