818 2566
734 513 256
756 319 3
172 505 954
787 262 540
484 187 323
793 669 938
811 1 505
817 760 702
520 297 264
157 690 584
103 452 218
21 95 925
792 483 604
782 618 242
9 566 469
467 783 517
718 509 976
330 194 950
506 138 663
150 111 270
622 787 207
113 38 414
281 425 496
407 261 536
268 317 864
496 272 621
766 656 25
631 803 486
2 67 924
369 269 633
717 65 529
107 524 427
320 519 924
112 263 905
113 331 682
100 431 265
431 697 433
816 308 928
115 794 110
604 661 511
379 334 307
615 134 741
56 742 168
450 159 788
540 522 663
241 639 564
293 30 813
632 737 435
251 482 391
578 591 985
310 412 229
190 427 301
463 367 155
384 727 41
242 737 251
138 641 306
218 53 51
123 271 765
308 605 695
287 409 502
278 707 145
518 755 511
279 183 358
351 364 465
178 756 969
47 24 619
109 612 639
501 262 719
117 4 196
501 542 307
101 197 51
496 413 64
677 292 268
810 798 408
581 742 57
53 364 293
59 588 877
233 470 773
586 731 487
648 572 392
477 210 172
407 101 313
98 291 857
499 57 294
372 91 648
433 323 723
299 331 20
453 146 749
159 2 330
7 366 884
682 459 588
363 287 802
621 301 612
815 241 159
412 751 641
734 702 538
509 647 847
196 259 617
221 668 311
202 791 179
460 50 103
227 718 319
466 192 978
590 332 843
357 460 302
39 727 962
295 4 321
605 402 556
343 156 60
554 586 292
711 327 325
424 554 299
605 256 793
83 556 629
807 408 230
695 720 637
579 446 632
777 105 141
234 471 939
136 56 759
237 326 46
660 711 134
310 360 154
52 771 74
130 682 31
525 478 630
32 150 640
314 40 407
5 6 695
108 121 561
178 581 57
818 762 124
704 420 454
457 282 915
397 557 3
102 497 207
165 266 932
336 144 588
731 474 834
814 411 323
104 486 995
583 520 556
782 289 875
554 592 293
75 712 492
351 569 202
394 393 617
102 348 987
250 501 670
349 298 213
178 374 625
84 688 881
147 125 830
664 374 108
204 467 516
661 392 758
774 540 728
515 595 688
749 72 571
656 172 257
681 257 799
754 400 529
102 18 852
401 260 671
288 342 805
727 571 567
479 817 442
124 290 622
120 620 637
612 547 91
723 544 983
