19
850 955
367 326 -339
44 29 -758
699 57 46
850 352 434
134 787 238
408 806 709
656 535 883
704 319 -820
553 20 339
128 551 -929
688 6 -269
190 171 519
63 242 -368
282 95 176
830 590 -97
809 753 936
59 174 38
282 688 962
186 804 239
292 725 -868
463 391 594
833 14 293
339 262 425
146 114 -485
16 496 691
2 686 -858
353 90 -160
54 501 313
521 54 314
27 683 -908
310 714 -866
257 216 -504
342 826 382
446 430 141
296 565 796
93 609 -23
113 276 956
760 442 240
661 371 -746
216 34 -89
461 22 -560
261 291 -626
291 129 -930
194 615 207
641 373 -288
774 88 649
647 830 61
482 819 -502
689 64 385
546 567 -214
28 417 -891
410 767 836
232 668 -809
755 793 68
632 309 949
531 740 247
191 431 191
29 420 663
174 301 -262
641 525 -94
778 2 813
443 202 14
498 817 365
421 373 343
376 413 9
85 725 -139
342 833 255
141 344 -313
823 534 52
181 681 -495
432 109 -867
631 447 -948
472 576 -428
308 269 447
569 241 -131
665 168 155
807 484 967
682 459 -559
686 442 69
252 234 -244
459 747 913
497 706 -991
160 100 -3
69 705 -90
130 203 303
426 726 -506
793 406 -764
245 85 182
321 40 732
171 354 143
267 10 296
573 357 763
724 687 -445
156 302 1000
488 690 -714
424 828 -594
145 33 -424
765 582 -453
628 40 -54
388 842 517
119 154 -587
563 320 550
740 323 628
780 51 503
516 545 -124
757 733 -866
404 159 -593
465 146 900
795 117 778
663 685 768
80 469 -934
313 811 35
599 750 -22
661 337 234
260 287 463
87 304 928
838 320 906
400 768 668
481 517 876
515 652 -493
433 410 725
572 491 938
98 539 -873
146 464 172
186 268 407
770 572 -75
570 732 -638
136 311 602
306 242 -584
163 141 -204
77 650 -494
90 629 -974
423 420 -539
77 121 604
667 587 -826
830 750 -177
698 332 -507
524 98 -848
497 486 -602
726 85 -863
114 286 -279
78 589 -154
259 481 -499
407 240 117
841 760 -266
224 80 701
843 731 928
289 205 861
80 227 701
543 628 350
526 557 -149
197 488 -707
289 173 -358
45 849 54
542 771 -446
387 398 798
842 4 -450
602 643 448
717 629 995
250 31 -34
348 334 -510
375 556 345
803 389 -285
215 269 801
849 374 -96
32 119 912
528 59 714
674 72 211
803 660 353
96 757 -300
496 628 -309
362 608 -958
731 684 -58
650 337 474
483 713 868
423 796 -950
52 594 643
196 91 -511
315 228 305
457 673 232
129 593 -471
284 420 64
10 773 967
6 377 -77
842 116 -340
642 603 363
758 679 -166
661 58 469
602 599 144
584 98 -890
845 648 -257
359 748 -303
30 172 869
697 403 -21
189 497 27
363 694 -434
347 331 344
300 311 -45
185 3 434
209 546 -189
687 368 -835
583 103 -327
309 192 913
478 778 498
724 470 866
495 841 -675
392 180 791
787 265 -84
467 807 828
100 632 -645
647 755 435
699 641 -213
432 515 699
736 89 -904
651 254 -963
109 27 -946
576 345 -240
214 726 -687
98 74 -736
697 682 900
337 473 867
495 539 318
344 616 -928
558 719 818
561 440 279
715 593 278
123 822 405
787 590 -712
770 404 692
533 483 -345
195 825 834
780 210 -272
37 26 -865
295 710 713
3 190 -152
326 274 5
99 145 -858
787 421 -156
629 444 150
99 828 -977
569 824 -60
545 819 -705
76 149 -105
361 435 -759
726 839 -137
432 521 768
406 697 677
137 734 194
848 490 909
13 56 -555
89 353 -89
527 257 -386
29 97 473
332 793 815
721 123 737
608 752 34
569 14 160
14 461 959
849 61 749
652 173 -901
138 366 307
147 58 97
799 737 202
447 175 -672
92 296 405
318 290 -777
192 280 -421
842 22 242
806 34 302
273 562 505
318 533 -529
595 239 301
824 74 -986
116 669 -892
513 729 354
333 761 740
693 691 -272
500 708 706
181 183 4
243 153 630
217 186 641
207 503 -945
457 727 -753
630 242 902
88 540 -822
307 843 -970
575 438 -236
456 28 622
165 488 27
641 674 1
823 717 -989
559 133 -634
447 41 -29
23 263 -771
484 720 -479
311 617 -998
237 331 -545
701 405 -125
621 580 402
422 277 181
543 325 -871
517 460 375
560 277 -248
650 482 -346
117 345 367
675 527 -909
706 608 739
596 157 395
303 807 -736
121 337 -137
688 34 -391
311 437 -127
793 160 41
64 213 101
207 627 -320
256 546 -974
797 821 -610
543 661 -339
505 635 -864
816 246 232
361 689 555
317 390 393
604 64 -589
114 280 -758
838 210 218
832 705 -196
466 47 -741
619 374 588
597 211 537
408 617 -520
39 356 -865
381 129 -8
557 441 788
589 798 936
221 790 -914
206 133 79
595 775 -59
476 729 -805
31 27 -463
276 170 510
343 11 527
51 256 -959
840 480 -361
758 315 735
120 284 -379
805 164 966
291 321 772
176 699 -960
325 177 -30
791 257 405
664 101 -25
768 354 -973
226 613 -773
631 68 791
454 307 -450
771 713 -782
376 1 436
71 427 892
643 192 7
485 489 -333
366 296 -20
749 94 764
218 332 -381
648 186 -760
139 260 -127
464 10 923
215 68 399
293 91 303
151 280 -1000
710 567 79
705 241 561
806 681 588
274 631 96
559 698 -287
710 426 729
329 305 569
808 101 -963
327 822 982
808 184 923
94 665 651
594 762 236
105 422 -150
60 34 592
671 695 -784
73 564 429
724 506 390
585 141 692
149 40 -423
386 287 926
551 664 289
258 562 -537
410 739 -297
490 466 642
447 772 744
832 694 334
307 171 -579
247 848 823
733 294 -630
386 836 435
103 830 774
845 368 -414
332 293 251
285 178 180
788 271 213
843 49 74
511 191 160
83 509 -235
107 474 -601
317 147 474
372 602 146
356 137 346
719 375 651
61 250 790
123 607 940
138 265 206
446 720 351
156 142 237
92 556 764
79 610 392
813 692 -101
842 347 999
344 548 7
219 269 993
415 630 -468
174 104 -474
410 293 969
593 557 652
48 101 -677
547 494 -533
600 611 515
663 823 35
456 271 121
454 279 442
529 849 -78
162 451 869
488 338 178
428 608 794
124 500 -232
809 292 930
505 197 -114
350 381 137
725 550 213
222 805 826
209 144 -16
211 484 -982
694 124 -526
270 774 -310
773 175 -807
726 813 634
816 20 605
701 759 -72
746 742 -887
194 736 861
677 389 -426
56 449 -930
653 269 528
319 600 637
378 622 -913
109 651 76
571 557 980
303 393 686
788 656 914
274 340 0
651 53 874
333 27 955
711 767 -857
206 400 -646
161 368 550
739 348 28
388 256 -412
398 405 775
670 543 -522
793 481 752
536 415 833
209 499 608
849 763 887
458 238 93
642 57 52
767 265 507
529 123 -512
202 693 204
645 505 -205
814 598 882
512 43 -975
745 29 674
721 524 486
135 503 -670
17 782 947
147 266 -737
834 780 315
427 411 496
388 134 647
133 94 712
714 770 637
397 467 -146
232 811 2
184 363 549
817 26 -697
573 315 806
100 214 13
843 253 -615
317 3 675
745 140 -969
98 54 -945
384 215 -951
465 680 -214
96 300 741
612 772 -851
591 82 -433
301 791 -202
486 649 785
808 677 266
350 124 965
218 84 220
493 54 204
695 750 645
235 285 -335
2 287 345
840 126 237
105 676 746
785 759 769
117 264 -561
187 620 828
645 12 -651
468 550 -385
437 650 573
134 73 281
169 114 -906
500 22 -644
514 684 307
256 152 -370
341 486 -992
132 767 86
689 344 579
177 564 637
601 427 492
269 208 695
468 520 -436
752 206 497
304 619 707
138 398 543
303 405 930
833 670 157
587 421 -107
256 126 -528
844 746 422
488 732 618
117 565 -514
357 572 364
436 232 341
80 735 592
651 823 -827
482 157 768
768 577 -97
740 516 -438
369 388 -446
650 394 -527
556 788 766
689 323 -240
327 392 -790
719 545 -842
348 338 721
113 654 -809
478 776 -335
685 813 821
134 541 143
342 215 -772
287 172 875
754 175 -614
265 474 -843
122 463 -388
794 274 -584
283 506 112
570 178 138
722 170 -285
377 251 -855
190 309 709
380 378 -177
643 840 978
725 301 -959
8 136 -885
188 371 -760
730 89 -941
814 311 111
187 47 325
684 581 -424
67 682 259
581 144 816
706 25 784
123 399 -207
464 453 652
698 668 -130
277 514 -870
672 301 -667
13 320 -202
136 126 950
528 712 -382
846 742 -153
581 55 -156
136 396 254
325 66 71
75 552 -743
324 751 -62
202 369 965
353 329 935
221 271 907
708 563 -604
775 400 -650
710 268 -928
624 792 947
567 782 888
251 32 441
701 705 165
780 587 222
582 426 -460
21 419 394
819 631 757
512 402 -9
314 80 -279
280 69 -969
718 298 -595
248 691 -261
9 417 567
146 397 468
212 850 958
571 37 -334
727 216 620
690 43 874
160 513 -99
837 225 468
257 43 558
232 254 -773
116 465 646
831 203 -22
44 206 -33
313 758 305
303 537 -614
407 309 463
482 24 264
296 637 56
290 484 -21
616 124 582
312 423 453
182 448 403
211 598 -249
32 11 233
539 154 -245
528 288 -557
160 640 -465
751 557 -755
632 629 -422
689 184 62
689 758 -641
303 306 892
14 139 -624
119 712 706
555 797 -162
703 691 188
731 777 -424
675 292 -521
200 365 -691
61 810 928
692 300 850
578 814 237
750 94 594
67 258 -494
499 821 -650
343 691 -460
609 260 966
489 602 816
370 506 69
591 5 331
144 735 -380
745 187 736
28 206 598
795 296 465
323 598 423
344 634 881
