8790 26251
3484 4887 -506
2476 741 805
5431 2765 -675
4722 5704 306
6721 5249 613
8277 2333 -497
1690 794 -578
1398 8047 398
2921 5771 -528
132 72 78
8534 1100 287
5272 6271 961
8480 5023 173
3991 7764 305
5290 7489 770
6656 3302 920
6973 855 200
7042 3814 -843
5216 6302 511
4974 7761 162
4226 8598 -560
3923 647 -461
8351 3497 693
2877 285 795
6364 1819 -126
8085 4658 -324
6049 4949 531
4734 8500 -416
7405 1405 -590
7436 2343 304
7294 4172 124
6299 4759 -731
6676 7039 -409
6312 4404 872
1365 6382 256
4200 4336 128
7798 918 735
7730 7506 -397
5888 8760 -686
4387 6713 -938
8616 6990 -561
2712 1999 729
1581 7934 -594
5308 8383 -904
2214 928 -863
3131 7509 238
3414 2952 -723
1090 5741 669
7704 689 -43
5510 4752 739
8180 6164 791
6281 7 693
7875 7802 680
646 5407 -3
8765 2717 120
193 6055 -804
3271 2965 -492
8188 3320 217
1847 5643 718
4882 6211 350
7815 4982 187
4055 1633 -876
8455 117 163
653 6697 807
8733 7421 436
3215 5374 297
7246 6302 -975
5481 5980 83
7783 2643 -579
1787 7356 229
1367 6234 -398
1145 6284 718
6768 1495 -672
7577 4163 454
3698 4981 538
5950 3138 -797
6735 6289 -159
8483 3273 -252
1927 657 -982
8702 8349 211
278 8141 598
2232 1946 -152
844 343 834
7072 3414 -616
8581 294 -549
4245 8559 913
6567 5622 -118
3936 4865 546
8403 1719 830
3498 1260 190
723 818 268
1254 8186 -182
8150 2423 -176
3364 6346 -418
4666 6519 760
6818 2906 -362
4817 6320 86
2926 5058 -656
5843 2550 144
7108 5044 898
1223 4416 -216
4923 2162 -911
1414 6833 307
52 2253 -193
8554 8725 172
5680 4144 962
1114 4312 566
6156 6728 -33
4940 20 -822
2461 8617 -265
8652 8385 -817
6248 8198 314
6819 6346 -562
4011 1097 622
3739 3557 -588
8395 4199 -560
669 7471 712
2444 2977 804
4277 2932 358
6790 2405 -131
7558 1754 -795
3449 22 -597
5165 4476 -716
1204 5897 -703
4433 2131 668
5829 6765 635
1768 1823 393
6352 3536 601
5280 3877 -728
5683 5114 66
3953 6579 -525
8789 5560 932
3369 8531 147
4541 366 1000
8433 1779 -648
1828 8404 -455
3098 1296 -312
1778 7031 -1000
2348 6194 -886
188 7694 -997
6595 2074 -516
7828 6138 -304
1052 8025 48
1359 1076 -994
1694 5560 815
3010 3659 985
5231 7436 -980
5061 4416 959
8535 4410 -278
3731 6622 -33
1253 3718 296
3357 5848 629
2363 2328 -415
7454 8441 -794
4297 3166 -531
1166 1729 634
3394 5750 -456
4402 7472 -373
6138 7511 -476
5578 3913 124
6046 4619 33
8414 6107 -736
439 375 -625
4693 1154 -803
322 8392 -498
6162 7288 -171
8026 4667 949
3970 98 791
4016 447 -770
850 5091 -706
3185 7867 905
5663 7682 -942
6141 3038 -103
1853 4194 127
2161 2025 720
2715 4647 330
1829 4608 136
1352 3648 -363
6848 949 728
5695 560 260
4122 8380 -530
2382 2568 949
8783 7928 147
6695 1379 269
2322 5659 -111
7713 1862 872
7431 8262 -205
7826 5169 241
1052 5311 424
3673 5572 -784
7753 6371 331
768 7380 690
401 3114 455
5587 5134 11
8156 6468 116
7543 3853 -144
4007 3915 712
5884 6779 111
8234 118 -360
8192 3434 -236
6427 7922 -219
1728 8301 -269
5892 383 -401
3189 252 838
1994 893 -635
2756 3365 708
4000 233 -797
4992 926 -213
7455 8346 611
551 4842 727
8089 3353 868
5803 6933 -343
5955 3604 108
4708 2661 518
7160 5216 172
233 5279 -64
7079 327 393
7135 5379 252
4967 2059 -710
8660 1096 960
983 5936 -858
1391 4348 -336
7428 3497 -204
3056 1024 -941
6004 8182 -570
3178 7907 -546
6250 3516 454
7835 1655 666
37 3847 236
8349 6277 737
6685 6428 493
107 7905 545
7756 8466 -480
694 5673 -186
2786 933 280
4429 4626 604
4510 5935 -207
854 2385 -859
1420 1714 606
4796 1561 556
5689 4130 701
6144 486 -812
6936 96 -585
1923 2549 764
5925 2540 958
4271 1155 -597
3620 1927 -751
8741 890 -296
8642 5358 -588
3456 3090 -247
3690 1586 -370
3804 7683 -255
6043 8581 -768
7258 4404 -512
6656 657 272
4535 4184 -711
3697 5999 947
7386 6345 314
5585 4859 -47
4701 6351 -491
7464 3896 839
7148 3860 51
2046 994 -604
7144 7409 -93
5692 4186 -971
1453 3810 -142
438 7054 -674
1335 8693 -840
8184 3420 -540
1135 5168 866
6648 371 -964
4201 8457 -859
6177 8203 777
6432 2254 -797
5386 1999 -168
1590 5040 -765
7834 2263 -69
3084 97 554
4810 5688 -256
6003 8644 528
8146 5550 -764
3732 78 883
7492 198 180
5094 2476 -723
5654 4862 -800
3040 997 561
6908 2822 956
4997 4366 -773
7140 8046 -698
2723 5392 -836
653 2311 -355
7880 5334 142
350 2234 -366
5219 6062 466
3861 59 492
976 4649 190
6189 5056 70
7921 7953 -452
872 3319 -722
5584 2758 -821
7705 3259 186
2252 2458 -827
2088 3086 49
3414 4949 -75
2811 1148 675
5593 5100 251
6461 8326 -789
1864 3940 -55
7119 8028 -861
6729 8131 37
4288 6349 37
7724 4963 789
5246 2310 -957
2754 8148 -605
3960 8272 -158
5911 5885 -652
4152 3596 -196
1843 6114 -377
8543 5478 -735
7959 5193 -567
3085 7742 -319
5336 4560 -19
2247 2614 -624
227 2300 -348
2371 4893 -977
6348 2586 172
4760 2972 -892
4749 5962 -184
1711 8387 -921
1192 2335 -169
4899 4575 -351
2300 4785 -755
2337 5350 353
7325 290 -279
4829 8666 748
6067 588 -640
1550 8441 -923
7879 8066 666
5894 3762 741
8336 6403 998
6570 7917 656
8109 8462 776
1604 762 -757
2413 7365 580
6877 5271 -44
3349 2588 -948
4989 1834 -50
8058 4545 -89
1432 2158 -523
322 1088 -648
6339 4372 647
4923 8204 -98
148 1897 858
1921 5011 -13
6054 8 867
2836 6304 -496
7981 1870 -837
5073 7794 -711
7676 2582 -884
6843 2975 -697
6415 4259 -625
5999 5918 943
1985 7322 490
2811 1793 508
6450 3405 933
2883 7041 -534
8193 734 295
8140 5745 -527
1313 7186 -678
7396 1042 924
8250 4146 -947
8051 3105 549
2091 5700 -300
2418 6747 722
4748 7653 260
6578 5981 -294
8592 5917 793
6708 5962 -848
1336 4084 881
2079 4935 -103
5086 3461 411
439 1192 -572
7759 8064 -566
1670 5942 888
1056 5107 -804
1422 4723 155
3326 7710 -869
698 1243 351
8193 3554 -14
3845 6026 -213
1614 5847 548
1703 2537 -730
420 7540 456
549 316 729
6258 5426 -261
7707 4939 -282
5136 7092 -152
5413 6464 72
6174 3113 -62
222 1905 -856
8053 575 -975
5239 3985 -767
8529 6024 132
7118 3606 958
2957 6804 -118
155 8499 -854
8388 4601 -943
3370 6729 263
3199 4384 74
5787 309 585
8607 3549 -311
7564 5987 -746
6258 5790 875
3830 5041 -156
4195 2779 965
7707 2218 528
376 7947 -323
